com.samsung.shealth.program.sleep_coaching.mission,6210049,1
answer,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,session_id,datauuid,is_done
null,2022-02-22 02:50:01.613,2022-02-22 02:50:01.613,1,0,SP_MSN_03,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,c2f9dda1-7d0d-4dee-b212-b236633d7592,0,
null,2022-02-22 02:50:01.613,2022-02-22 02:50:01.613,1,6,SP_MSN_03,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,8bf1f619-5a4b-4e8d-aae6-4739b688025a,0,
null,2022-02-22 02:50:01.614,2022-02-22 02:50:01.614,1,8,SP_MSN_01,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,18d2d0ae-4a7f-4afb-8146-2d3d6bfe2fed,0,
null,2022-02-22 02:50:01.614,2022-02-22 02:50:01.614,1,10,SP_MSN_01,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,e7f354bb-ed8d-406c-aa39-1d663569c4fa,0,
null,2022-02-22 02:50:01.614,2022-02-22 02:50:01.614,1,11,SP_MSN_10,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,5f072760-1c66-4305-8c92-bd98bb16bca3,0,
null,2022-02-22 02:50:01.614,2022-02-22 02:50:01.614,1,13,SP_MSN_10,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,2704d4ed-9932-46c9-9241-079070751598,0,
null,2022-02-22 02:50:01.614,2022-02-22 02:50:01.614,1,14,SP_MSN_14,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,8e39e347-7914-4915-8d1d-7017215b1504,0,
null,2022-02-22 02:50:01.615,2022-02-22 02:50:01.615,1,16,SP_MSN_01,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,02115a49-fad6-48ff-bdb5-b0ed5e40146c,0,
null,2022-02-22 02:50:01.615,2022-02-22 02:50:01.615,1,17,SP_MSN_11,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,c2716d42-7054-4b29-9fe3-cc7f704b8ee8,0,
null,2022-02-22 02:50:01.615,2022-02-22 02:50:01.615,1,18,SP_MSN_13,Nz95nEBsYs,com.sec.android.app.shealth,9929df80-646f-42b2-b987-8d313fa76465,3bac2199-aa5a-41d7-a360-c96246288070,0,
