com.samsung.shealth.stress,6210049,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2020-11-10 02:00:00.000,,8b67306d-cb3b-f5bf-0877-fd67af3e9aa8.binning_data.json,10011,2020-11-10 03:06:08.775,2020-11-10 02:07:32.498,100.0,8.0,93.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-10 02:59:59.999,8b67306d-cb3b-f5bf-0877-fd67af3e9aa8,
2020-11-10 08:00:00.000,,f46ef1d0-3476-a6fb-34cf-b38ad4365498.binning_data.json,10011,2020-11-10 09:04:50.309,2020-11-10 08:05:46.804,100.0,13.0,65.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-10 08:59:59.999,f46ef1d0-3476-a6fb-34cf-b38ad4365498,
2020-11-10 14:00:00.000,,44ef28a3-bfd6-961a-f96d-33dfabe1c95f.binning_data.json,10011,2020-11-10 15:03:36.732,2020-11-10 14:46:29.603,99.0,2.0,47.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-10 14:59:59.999,44ef28a3-bfd6-961a-f96d-33dfabe1c95f,
2020-11-11 03:00:00.000,,92bf62d0-1fbb-69ca-7174-6aec410f0cbe.binning_data.json,10011,2020-11-11 04:07:20.199,2020-11-11 03:46:27.294,100.0,9.0,59.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-11 03:59:59.999,92bf62d0-1fbb-69ca-7174-6aec410f0cbe,
2020-11-11 09:00:00.000,,95f0091e-d861-89a4-f66f-9bb5e9842b8a.binning_data.json,10011,2020-11-11 10:03:50.570,2020-11-11 09:42:52.188,100.0,62.0,96.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-11 09:59:59.999,95f0091e-d861-89a4-f66f-9bb5e9842b8a,
2020-11-11 20:00:00.000,,e8f31fd8-ef04-652e-4f82-c43e9e8e6338.binning_data.json,10011,2020-11-11 21:22:17.368,2020-11-11 20:43:29.497,99.0,14.0,59.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-11 20:59:59.999,e8f31fd8-ef04-652e-4f82-c43e9e8e6338,
2020-11-12 03:00:00.000,,7e08a0fc-6cb0-8bc7-fc83-360e13505819.binning_data.json,10011,2020-11-12 04:04:31.544,2020-11-12 03:31:30.288,100.0,2.0,66.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-12 03:59:59.999,7e08a0fc-6cb0-8bc7-fc83-360e13505819,
2020-11-12 09:00:00.000,,7abe76b0-2d2e-e8a4-c7d1-0ed9492129b2.binning_data.json,10011,2020-11-12 10:05:49.477,2020-11-12 09:25:38.729,97.0,3.0,45.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-12 09:59:59.999,7abe76b0-2d2e-e8a4-c7d1-0ed9492129b2,
2020-11-12 21:00:00.000,,84bd6e79-d74b-1548-b528-d87fabb1e0ce.binning_data.json,10011,2020-11-12 22:32:39.345,2020-11-12 22:32:39.345,100.0,100.0,100.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-12 21:59:59.999,84bd6e79-d74b-1548-b528-d87fabb1e0ce,
2020-11-13 13:00:00.000,,0d25ced3-04a2-a6f9-abc4-67066a40d413.binning_data.json,10011,2020-11-13 14:05:46.465,2020-11-13 13:45:08.073,99.0,1.0,52.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-13 13:59:59.999,0d25ced3-04a2-a6f9-abc4-67066a40d413,
