com.samsung.shealth.tracker.pedometer_day_summary,6210049,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6566,d8cf3a91-5a0f-4af2-87d1-cbada641fee3.binning_data.json,3413509,6000,27,2019-01-25 15:00:03.338,com.sec.android.app.shealth,2019-01-25 15:00:03.338,,3.7777781,5005.5996,244.61995,6539,2lBdpDiteS,com.sec.android.app.shealth,3821,d8cf3a91-5a0f-4af2-87d1-cbada641fee3.achievement.json,d8cf3a91-5a0f-4af2-87d1-cbada641fee3,1548374400000,
3631,e1e54a54-c485-4423-89d1-11425a09c915.binning_data.json,1873821,6000,38,2019-01-24 15:00:02.745,com.sec.android.app.shealth,2019-01-24 15:00:02.745,,2.2500002,2721.7898,145.65,3593,2lBdpDiteS,com.sec.android.app.shealth,1325,e1e54a54-c485-4423-89d1-11425a09c915.achievement.json,e1e54a54-c485-4423-89d1-11425a09c915,1548288000000,
3724,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.binning_data.json,1945641,6000,80,2019-01-23 15:00:03.522,com.sec.android.app.shealth,2019-01-21 21:59:55.074,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.source_info.json,1.4684616,2857.0999,143.28996,3644,VfS0qUERdZ,com.sec.android.app.shealth,0,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.achievement.json,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f,1548115200000,
8037,3d44e09b-003e-4cd3-8525-c0619db0b749.binning_data.json,4255763,6000,23,2019-01-23 15:00:03.662,com.sec.android.app.shealth,2019-01-20 22:47:17.896,3d44e09b-003e-4cd3-8525-c0619db0b749.source_info.json,1.4364332,6113.12,294.21997,8014,VfS0qUERdZ,com.sec.android.app.shealth,0,3d44e09b-003e-4cd3-8525-c0619db0b749.achievement.json,3d44e09b-003e-4cd3-8525-c0619db0b749,1548028800000,
9138,49f18363-e120-4b86-9564-1ecd2eec40d0.binning_data.json,4697312,6000,30,2019-01-28 15:00:03.751,com.sec.android.app.shealth,2019-01-28 15:00:03.751,,3.083333,7044.4497,333.61,9108,2lBdpDiteS,com.sec.android.app.shealth,1117,49f18363-e120-4b86-9564-1ecd2eec40d0.achievement.json,49f18363-e120-4b86-9564-1ecd2eec40d0,1548633600000,
2269,4fd9f1c4-f47f-4da5-ba41-d641cded3d4f.binning_data.json,1134686,6000,65,2019-01-27 15:00:02.402,com.sec.android.app.shealth,2019-01-27 15:00:02.402,,2.5833333,1762.0801,81.78999,2204,2lBdpDiteS,com.sec.android.app.shealth,0,4fd9f1c4-f47f-4da5-ba41-d641cded3d4f.achievement.json,4fd9f1c4-f47f-4da5-ba41-d641cded3d4f,1548547200000,
6566,cbb8e98a-c2de-4f9a-a497-cfd1427ec269.binning_data.json,3413554,6000,27,2019-01-25 14:27:36.597,com.sec.android.app.shealth,2019-01-24 23:29:47.759,cbb8e98a-c2de-4f9a-a497-cfd1427ec269.source_info.json,1.4663894,5005.5996,244.61995,6539,VfS0qUERdZ,com.sec.android.app.shealth,0,cbb8e98a-c2de-4f9a-a497-cfd1427ec269.achievement.json,cbb8e98a-c2de-4f9a-a497-cfd1427ec269,1548374400000,
11814,77050983-05ac-4c4d-842f-8a9ef7bfec33.binning_data.json,6199634,6000,105,2019-01-31 15:00:03.416,com.sec.android.app.shealth,2019-01-31 15:00:03.416,,3.8055558,8916.02,454.27,11709,2lBdpDiteS,com.sec.android.app.shealth,1814,77050983-05ac-4c4d-842f-8a9ef7bfec33.achievement.json,77050983-05ac-4c4d-842f-8a9ef7bfec33,1548892800000,
3631,08272635-fe8c-4b7f-9d65-106cbe1e0672.binning_data.json,1873850,6000,38,2019-01-24 11:35:56.068,com.sec.android.app.shealth,2019-01-23 15:05:25.637,08272635-fe8c-4b7f-9d65-106cbe1e0672.source_info.json,1.4525117,2721.7898,145.65,3593,VfS0qUERdZ,com.sec.android.app.shealth,0,08272635-fe8c-4b7f-9d65-106cbe1e0672.achievement.json,08272635-fe8c-4b7f-9d65-106cbe1e0672,1548288000000,
4838,d0e2d8a1-a2f0-4c4b-8070-3495b40c1d58.binning_data.json,2457105,6000,31,2019-01-30 15:00:01.831,com.sec.android.app.shealth,2019-01-30 15:00:01.831,,2.5833333,3595.78,186.20999,4807,2lBdpDiteS,com.sec.android.app.shealth,1071,d0e2d8a1-a2f0-4c4b-8070-3495b40c1d58.achievement.json,d0e2d8a1-a2f0-4c4b-8070-3495b40c1d58,1548806400000,
