com.samsung.shealth.best_records,6210049,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
868dabcb-21de-bbaf-f0b8-9c8292c65f0e,-1,2022-02-10 08:31:00.840,2021-04-15 12:13:56.145,,1618518689150,1,2370030.0,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,e220a400-08f1-4a09-b71d-3746694d5348,
1a8cf1a9-6973-57cc-27b9-9bfb5e6a85cc,-1,2022-02-10 08:31:00.827,2020-11-06 14:49:53.145,,1604705264220,2,87.6,9002,2lBdpDiteS,com.sec.android.app.shealth,tracker.sport_others,fc5efaa5-7d51-46c2-aa28-da1a6147e075,
,-1,2021-06-15 00:59:58.252,2021-06-15 00:59:58.252,,1623369600000,6,53.0,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.floor,a9439089-881d-495e-8aed-5c1085d52397,
,-1,2020-11-13 00:09:26.093,2020-11-13 00:09:26.093,,1605052800000,6,18.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,0c5ee220-9a53-4cfc-893b-770dd93b2830,
94ff767f-77ba-fd07-8bbf-eb40cea3f4ba,-1,2022-02-10 08:31:00.842,2021-09-18 11:16:26.409,,1631991797010,2,580.69,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_walking,9859dcf7-583d-4f32-8e44-4c327fa5e4a5,
868dabcb-21de-bbaf-f0b8-9c8292c65f0e,-1,2022-02-10 08:31:00.840,2021-04-15 12:13:56.427,,1618518689150,2,301.207,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,23a98dca-184e-460c-a50c-a8b0101386c4,
,-100003,2021-11-20 15:00:02.632,2021-11-20 15:00:02.632,,1637366400000,0,23500.0,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.pedometer,b8ca651e-bfe1-4894-b91e-5df6706f7fff,
74d57b53-eafe-a95a-2418-944458d95bdb,-1,2022-02-10 08:31:00.834,2021-09-09 09:19:24.461,,1631209162910,4,3.451,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,3e146fba-0f38-4541-b8f6-765d2dcfd075,
94ff767f-77ba-fd07-8bbf-eb40cea3f4ba,-1,2022-02-10 08:31:00.842,2021-09-18 11:16:26.446,,1631991797010,3,5769.822,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_walking,b5841fb5-b4fd-475c-8be6-827fa56fe211,
,-100003,2019-01-23 15:00:00.826,2019-01-23 15:00:00.826,,1548201600000,0,16375.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,37aded97-47f5-4246-9172-2598e731a9e4,
,-1,2020-11-13 00:09:25.842,2020-11-13 00:09:25.842,,1604016000000,6,2.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,29eb4dd6-34d2-4006-bad8-a11411d5f114,
,-1,2020-11-13 00:09:26.134,2020-11-13 00:09:26.134,,1605139200000,6,20.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,4dbf0735-747b-454c-b034-5ff15e0f5bcc,
868dabcb-21de-bbaf-f0b8-9c8292c65f0e,-1,2022-02-10 08:31:00.840,2021-04-15 12:13:56.591,,1618518689150,3,633.674,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,01c72605-2e0b-49f5-a626-64bc62221dac,
74d57b53-eafe-a95a-2418-944458d95bdb,-1,2022-02-10 08:31:00.834,2021-09-09 09:19:24.509,,1631209162910,2,384.484,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,3ab69364-4b72-45b0-a84c-e90d4e5443e2,
80078417-4917-8fa5-01ab-cf8664f48260,-1,2022-02-10 08:31:00.837,2021-09-19 11:18:23.706,,1632077318670,1,4958210.0,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_walking,d2e05927-1c5c-47d3-98c6-44567118e130,
