com.samsung.health.sleep_stage,6210049,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-11-05 18:34:00.000,d166ec99-1308-400b-b1eb-cebcafd9580d,,2020-11-05 21:34:45.524,2020-11-05 21:34:45.524,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-05 18:36:00.000,57271c5b-0da7-48bd-ba1a-3ddf2f31be92,
2020-11-05 19:22:00.000,d166ec99-1308-400b-b1eb-cebcafd9580d,,2020-11-05 21:34:45.546,2020-11-05 21:34:45.546,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-05 19:24:00.000,f043dc9c-3cf5-4d08-81fe-0f40c4d12d38,
2020-11-05 20:25:00.000,d166ec99-1308-400b-b1eb-cebcafd9580d,,2020-11-05 21:34:45.564,2020-11-05 21:34:45.564,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-05 20:28:00.000,c581e1a9-ba3b-41c3-a80f-aaf33836d02a,
2020-11-06 16:07:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.932,2020-11-06 22:22:28.932,40003,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 16:36:00.000,69068b98-9104-4dc2-bf4c-70f9e94c9163,
2020-11-06 16:45:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.947,2020-11-06 22:22:28.947,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 16:56:00.000,199f5e68-37a0-413b-85cb-433b53e0d4b1,
2020-11-06 17:32:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.970,2020-11-06 22:22:28.970,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 17:50:00.000,534878ea-8dc6-4574-b2ad-b0a8534d269a,
2020-11-06 18:04:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.985,2020-11-06 22:22:28.985,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 18:05:00.000,32433790-bf6a-4453-ae27-7d6938195c9d,
2020-11-06 19:43:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.989,2020-11-06 22:22:28.989,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 19:45:00.000,48fe4760-0ab1-42a6-80c1-a732ee838fa3,
2020-11-06 20:44:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:28.999,2020-11-06 22:22:28.999,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 20:45:00.000,edbfa088-0d49-49d1-94f4-b43c09028876,
2020-11-06 21:05:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:29.005,2020-11-06 22:22:29.005,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 21:09:00.000,60bf70fa-589d-496d-a689-897a988e3014,
2020-11-06 21:37:00.000,d5d271af-7c75-a054-763e-efd8636a3a46,,2020-11-06 22:22:29.018,2020-11-06 22:22:29.018,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-06 21:45:00.000,9943b90c-5d3b-466a-980e-a83e45e3710b,
2020-11-07 16:07:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.416,2020-11-07 22:31:02.416,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 16:09:00.000,b4401a5b-6c26-4b87-8b9a-8cbff77e5ccb,
2020-11-07 18:04:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.420,2020-11-07 22:31:02.420,40003,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 18:17:00.000,a85ab60a-3f88-4b31-8ae5-eb8bd3cdb111,
2020-11-07 18:41:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.429,2020-11-07 22:31:02.429,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 18:42:00.000,8208a7fa-2eaf-4df6-91db-478dc694ee19,
2020-11-07 19:10:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.433,2020-11-07 22:31:02.433,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 19:11:00.000,49dd4761-d02e-4159-a624-3b84b556d509,
2020-11-07 19:53:00.000,fd27e57d-44be-44fc-d8e8-2c1e26ae5867,,2020-11-07 22:31:02.442,2020-11-07 22:31:02.442,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-07 19:56:00.000,05f584cb-d36b-43cb-afaf-368b0445008f,
