com.samsung.shealth.step_daily_trend,6210049,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
3b17f0c5-47d6-4dc2-bb63-03f34ba0673c.binning_data.json,2021-03-03 10:31:02.534,2021-03-03 10:31:02.534,com.sec.android.app.shealth,24,5154,1.3562202,3861.769,183.19,m6sL7dLFqc,com.sec.android.app.shealth,3b17f0c5-47d6-4dc2-bb63-03f34ba0673c,1613347200000,
6387467a-8c8a-4e65-8eb7-3df43aa2fe50.binning_data.json,2021-03-03 10:31:02.613,2021-03-03 10:31:02.613,com.sec.android.app.shealth,24,8346,1.365512,6130.473,311.38,m6sL7dLFqc,com.sec.android.app.shealth,6387467a-8c8a-4e65-8eb7-3df43aa2fe50,1613520000000,
0a6b4a70-ec8c-4cef-946e-4eb0dce731cc.binning_data.json,2021-03-03 10:31:02.560,2021-03-03 10:31:02.560,com.sec.android.app.shealth,24,7181,1.2923898,5267.169,258.93,m6sL7dLFqc,com.sec.android.app.shealth,0a6b4a70-ec8c-4cef-946e-4eb0dce731cc,1613433600000,
db23093b-4149-46ce-9d4b-856d666fcc31.binning_data.json,2021-03-03 10:31:02.656,2021-03-03 10:31:02.656,com.sec.android.app.shealth,24,6456,1.3234315,4815.27,227.88,m6sL7dLFqc,com.sec.android.app.shealth,db23093b-4149-46ce-9d4b-856d666fcc31,1614643200000,
16a8c686-8561-41c4-b4ac-5b56e93dc460.binning_data.json,2021-03-03 10:31:02.684,2021-03-03 10:31:02.684,com.sec.android.app.shealth,24,120,1.292784,89.18,4.17,m6sL7dLFqc,com.sec.android.app.shealth,16a8c686-8561-41c4-b4ac-5b56e93dc460,1613692800000,
f6a66d84-91e0-4bb4-9e5a-5ed4be74244a.binning_data.json,2021-03-03 10:30:58.882,2021-03-03 10:30:58.882,com.sec.android.app.shealth,0,4801,2.6111114,3667.47,178.82999,Nz95nEBsYs,com.sec.android.app.shealth,f6a66d84-91e0-4bb4-9e5a-5ed4be74244a,1547337600000,
45f39273-1912-4b98-9a42-f13610370cf2.binning_data.json,2021-03-03 10:30:58.871,2021-03-03 10:30:58.871,com.sec.android.app.shealth,0,185,1.8888888,146.94,6.8999996,Nz95nEBsYs,com.sec.android.app.shealth,45f39273-1912-4b98-9a42-f13610370cf2,1547251200000,
d6c73a99-0ca9-474b-804a-40f16ef49c9f.binning_data.json,2021-03-03 10:31:02.677,2021-03-03 10:31:02.677,com.sec.android.app.shealth,24,8025,1.3450625,5933.171,284.99,m6sL7dLFqc,com.sec.android.app.shealth,d6c73a99-0ca9-474b-804a-40f16ef49c9f,1613606400000,
2f908dd0-2805-470b-a24c-0da742a88fd4.binning_data.json,2021-03-03 10:30:58.882,2021-03-03 10:30:58.882,com.sec.android.app.shealth,0,6578,5.0555544,4999.6694,260.27,Nz95nEBsYs,com.sec.android.app.shealth,2f908dd0-2805-470b-a24c-0da742a88fd4,1547424000000,
5f17f6f1-4678-4b1d-bff7-c19bda12632f.binning_data.json,2021-03-03 10:30:58.883,2021-03-03 10:30:58.883,com.sec.android.app.shealth,0,11597,6.9444427,8919.5,434.34998,Nz95nEBsYs,com.sec.android.app.shealth,5f17f6f1-4678-4b1d-bff7-c19bda12632f,1547596800000,
