com.samsung.shealth.stand_day_summary,6210049,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
327680,2020-10-30 09:18:03.299,2020-10-30 06:20:45.191,m6sL7dLFqc,com.sec.android.app.shealth,0a96ca83-f753-bb30-8a78-b38e7ce36c23,1604016000000,
155648,2020-11-05 08:22:27.280,2020-11-04 15:00:09.801,m6sL7dLFqc,com.sec.android.app.shealth,c104a77c-f660-37a7-29f7-276fb332c801,1604534400000,
344064,2020-11-11 09:35:07.308,2020-11-10 15:00:10.617,m6sL7dLFqc,com.sec.android.app.shealth,5d4ff2ac-6fc6-d53b-0b0a-62b08dcf7319,1605052800000,
74752,2020-11-17 07:01:45.630,2020-11-16 15:00:10.859,m6sL7dLFqc,com.sec.android.app.shealth,af4e146f-8fc9-fac8-8842-562862405061,1605571200000,
1136640,2020-11-23 11:01:48.294,2020-11-22 15:00:09.928,m6sL7dLFqc,com.sec.android.app.shealth,45c33761-dbe5-848a-e401-40eb72e8d5d6,1606089600000,
8388608,2020-11-29 14:01:31.281,2020-11-28 15:00:04.921,m6sL7dLFqc,com.sec.android.app.shealth,f9572d5b-43a4-2b7f-8d3f-e8f7c346ccf8,1606608000000,
18432,2020-12-05 05:48:33.309,2020-12-04 15:00:12.629,m6sL7dLFqc,com.sec.android.app.shealth,d9dbb3d2-ff0b-120d-3b5e-8cf418d2fae6,1607126400000,
10240,2020-12-11 04:43:33.643,2020-12-10 15:00:05.566,m6sL7dLFqc,com.sec.android.app.shealth,e80667e1-ccf8-2d54-442a-0972ffe8e703,1607644800000,
3145728,2020-10-31 12:46:58.289,2020-10-30 15:00:12.765,m6sL7dLFqc,com.sec.android.app.shealth,c09dd293-8aee-925c-ac5b-808bb190b1ae,1604102400000,
1179648,2020-12-17 11:34:33.286,2020-12-16 15:00:06.359,m6sL7dLFqc,com.sec.android.app.shealth,ab6bfcea-d7a3-b9ad-d183-a5e2fa0daa78,1608163200000,
8814592,2020-11-06 14:16:07.525,2020-11-05 15:00:22.928,m6sL7dLFqc,com.sec.android.app.shealth,bbf97690-818c-fd0c-f43e-eb1fec0e5a85,1604620800000,
133120,2020-11-12 08:57:07.256,2020-11-11 15:00:06.706,m6sL7dLFqc,com.sec.android.app.shealth,1a8c2f66-4f8c-b388-72ad-200dc710429f,1605139200000,
1138688,2020-11-18 11:08:37.272,2020-11-17 15:00:04.054,m6sL7dLFqc,com.sec.android.app.shealth,f1ee84c7-31a0-653d-4e3c-292dcd980e7a,1605657600000,
139264,2020-11-24 08:13:12.310,2020-11-23 15:00:11.938,m6sL7dLFqc,com.sec.android.app.shealth,e19fb361-d321-7980-d8e6-3bcf7e09cade,1606176000000,
9986048,2020-12-23 14:51:48.572,2020-12-22 15:00:04.310,m6sL7dLFqc,com.sec.android.app.shealth,d72d22a4-ea85-0683-3a0c-bf1b281b63b4,1608681600000,
2181120,2020-11-30 12:22:28.249,2020-11-29 15:00:02.802,m6sL7dLFqc,com.sec.android.app.shealth,ffea1412-a443-8d54-0376-a9d44ad5b10e,1606694400000,
657408,2020-12-29 10:46:37.289,2020-12-28 15:00:16.846,m6sL7dLFqc,com.sec.android.app.shealth,a05c22f8-893b-8c65-d42f-952c99d89a32,1609200000000,
0,2020-12-05 15:00:05.308,2020-12-05 15:00:05.307,m6sL7dLFqc,com.sec.android.app.shealth,f31d5b49-8e7f-6e94-c73e-bedb6bd29b39,1607212800000,
1442304,2020-12-12 11:27:45.295,2020-12-11 15:00:13.784,m6sL7dLFqc,com.sec.android.app.shealth,025e9bc6-dfe2-d175-e51b-bd34aa4fcee6,1607731200000,
8918016,2020-12-18 14:34:43.292,2020-12-17 15:00:05.592,m6sL7dLFqc,com.sec.android.app.shealth,3f8ba66f-50e7-74dd-4276-77e1edc1a084,1608249600000,
2148352,2021-01-04 12:01:13.303,2021-01-03 15:00:09.430,m6sL7dLFqc,com.sec.android.app.shealth,0b4446ad-8f3e-127e-12cd-aeb015b1afad,1609718400000,
0,2020-12-23 15:00:23.605,2020-12-23 15:00:23.605,m6sL7dLFqc,com.sec.android.app.shealth,df07ce8d-4163-20d2-46c7-f37489686dc6,1608768000000,
5316608,2020-12-30 13:05:21.261,2020-12-29 15:00:11.050,m6sL7dLFqc,com.sec.android.app.shealth,8630fde3-becc-225e-2edd-3abd7eacb7a4,1609286400000,
10682368,2021-01-05 14:57:26.314,2021-01-04 15:00:17.423,m6sL7dLFqc,com.sec.android.app.shealth,678e4d7d-d90a-b12f-b63d-35ca1d6261ef,1609804800000,
0,2021-01-09 15:00:09.692,2021-01-09 15:00:09.692,m6sL7dLFqc,com.sec.android.app.shealth,dfcd4c27-b430-646e-9a69-3ccf3b758fd1,1610236800000,
149504,2021-01-11 08:42:56.307,2021-01-10 15:00:03.469,m6sL7dLFqc,com.sec.android.app.shealth,1e4b6c80-0999-0738-cbf6-4d80984186ee,1610323200000,
0,2021-01-16 15:00:05.785,2021-01-16 15:00:05.785,m6sL7dLFqc,com.sec.android.app.shealth,3c4ae381-ac8f-266f-6863-47aed9c13343,1610841600000,
0,2021-01-24 01:33:51.296,2021-01-24 01:33:51.296,m6sL7dLFqc,com.sec.android.app.shealth,ce304718-bd87-748a-b8f9-beed2dcf973f,1611446400000,
262144,2021-01-16 09:28:27.294,2021-01-15 15:00:09.070,m6sL7dLFqc,com.sec.android.app.shealth,8fa1cc04-34fe-27e4-745f-7358d4bc6bd9,1610755200000,
2359297,2021-01-30 12:08:39.273,2021-01-29 15:00:07.068,m6sL7dLFqc,com.sec.android.app.shealth,645deb9c-45b8-ee99-92aa-927c6edd105d,1611964800000,
0,2021-02-04 15:00:21.050,2021-02-04 15:00:21.050,m6sL7dLFqc,com.sec.android.app.shealth,d814bda6-9062-ba47-868a-82a619a55ede,1612483200000,
0,2021-02-10 15:00:10.131,2021-02-10 15:00:10.131,m6sL7dLFqc,com.sec.android.app.shealth,c92bd723-4e78-dd9e-d665-bbd2c0ddc57b,1613001600000,
67584,2021-01-22 07:56:50.334,2021-01-21 15:00:04.340,m6sL7dLFqc,com.sec.android.app.shealth,867f229a-a949-ed60-b3f5-fb092046a646,1611273600000,
9982977,2021-02-17 14:48:58.252,2021-02-16 15:00:08.960,m6sL7dLFqc,com.sec.android.app.shealth,308cf30a-5eaf-5b75-d667-291ce8b88d75,1613520000000,
692225,2021-03-04 10:57:42.253,2021-03-03 15:00:10.824,m6sL7dLFqc,com.sec.android.app.shealth,b7fbb081-6406-0d84-e9bb-012536235b9b,1614816000000,
4793348,2021-03-10 13:24:07.296,2021-03-09 15:00:05.755,m6sL7dLFqc,com.sec.android.app.shealth,eb7a72f5-4a2c-7eac-2b68-044b4c41453d,1615334400000,
0,2021-01-28 15:00:10.784,2021-01-28 15:00:10.783,m6sL7dLFqc,com.sec.android.app.shealth,2bbd9c82-f983-a727-d962-ea5f1c06f5e9,1611878400000,
1135618,2021-03-16 11:38:01.521,2021-03-15 15:00:04.055,m6sL7dLFqc,com.sec.android.app.shealth,e82b1e2d-4f8c-091f-1325-e4bdf69cf15d,1615852800000,
12713984,2021-03-22 14:38:23.314,2021-03-21 15:00:02.789,m6sL7dLFqc,com.sec.android.app.shealth,878fd272-f3b3-b34e-0274-3233429fe535,1616371200000,
0,2021-04-12 07:23:44.843,2021-04-12 07:15:06.595,m6sL7dLFqc,com.sec.android.app.shealth,77fff8f6-1e00-564a-12b4-2f10d76455da,1618185600000,
0,2021-04-17 15:00:08.906,2021-04-17 15:00:08.906,m6sL7dLFqc,com.sec.android.app.shealth,1a749f20-e630-8fee-daa5-e0c7ffbefad0,1618704000000,
98304,2021-04-24 07:29:02.268,2021-04-23 15:00:05.843,m6sL7dLFqc,com.sec.android.app.shealth,2d28d762-9ca2-6cc9-ed5c-218d31443faa,1619222400000,
8192,2021-02-04 04:49:55.593,2021-02-03 15:00:16.799,m6sL7dLFqc,com.sec.android.app.shealth,9eb488cd-5c31-636f-645a-05a531d12480,1612396800000,
2179072,2021-04-30 12:36:23.274,2021-04-29 15:00:21.114,m6sL7dLFqc,com.sec.android.app.shealth,201c60d8-6172-dfbc-f8f3-155da9968291,1619740800000,
327681,2021-05-06 09:53:30.314,2021-05-05 15:00:03.819,m6sL7dLFqc,com.sec.android.app.shealth,466856a7-86fa-b2c6-976f-8b4e97682929,1620259200000,
0,2021-02-09 15:00:05.257,2021-02-09 15:00:05.257,m6sL7dLFqc,com.sec.android.app.shealth,5863f0cc-7ab7-08d3-6812-c29562c9c014,1612915200000,
17408,2021-05-12 05:30:07.561,2021-05-11 15:00:09.795,m6sL7dLFqc,com.sec.android.app.shealth,0fe993c0-32f1-62fe-f1e6-d6f5cdaef89a,1620777600000,
5312512,2021-05-18 13:45:51.302,2021-05-17 15:00:02.866,m6sL7dLFqc,com.sec.android.app.shealth,f32f4a40-180b-4a7f-2d01-0211f555956f,1621296000000,
8425476,2021-05-24 14:42:23.892,2021-05-23 15:00:03.805,m6sL7dLFqc,com.sec.android.app.shealth,7e5fa085-28ef-db03-43dc-6acc542be401,1621814400000,
165888,2021-02-16 08:02:15.277,2021-02-15 15:00:12.664,m6sL7dLFqc,com.sec.android.app.shealth,827850f8-a816-705f-339f-b96437502e23,1613433600000,
32768,2021-05-30 06:07:35.306,2021-05-29 15:00:04.801,m6sL7dLFqc,com.sec.android.app.shealth,bee764f5-6f57-9d64-9bbb-0fdd281a0c95,1622332800000,
0,2021-06-04 15:00:06.364,2021-06-04 15:00:06.364,m6sL7dLFqc,com.sec.android.app.shealth,0557ad6b-31f0-2519-6439-c71dee0267c1,1622851200000,
1048576,2021-06-11 11:19:37.333,2021-06-10 15:00:06.842,m6sL7dLFqc,com.sec.android.app.shealth,9780eaf5-55a8-bd01-4c09-6af2d995562f,1623369600000,
589824,2021-06-17 10:56:26.159,2021-06-16 15:00:09.333,m6sL7dLFqc,com.sec.android.app.shealth,a702066e-bf1e-8466-383f-1fa7272009af,1623888000000,
13664256,2021-03-03 14:29:32.344,2021-03-02 15:00:07.637,m6sL7dLFqc,com.sec.android.app.shealth,65f75d47-655f-7368-7d7b-d902745c0908,1614729600000,
312320,2021-06-23 09:38:30.219,2021-06-22 15:00:06.425,m6sL7dLFqc,com.sec.android.app.shealth,612d144f-95cb-9587-5dff-fa5e96591852,1624406400000,
