com.samsung.shealth.stress.histogram,6210049,1
update_time,create_time,base_hr,decay_time,deviceuuid,pkg_name,histogram,datauuid
2022-02-22 05:11:33.587,2020-10-31 03:15:28.456,99743,1645506690,PkMNM+JAvu,com.sec.android.app.shealth,3256fa75-b699-0907-84ac-5d204ba4780d.histogram.json,3256fa75-b699-0907-84ac-5d204ba4780d,
2021-12-06 13:28:15.708,2021-03-02 14:37:38.446,0,1638796113,PkMNM+JAvu,com.sec.android.app.shealth,6c851677-8dc9-7bc5-52e3-c3b30d282812.histogram.json,6c851677-8dc9-7bc5-52e3-c3b30d282812,
2021-12-06 13:28:15.708,2021-12-04 04:04:40.837,0,1638796113,PkMNM+JAvu,com.sec.android.app.shealth,eb3fbc8e-93c1-4a78-a1b2-daa3eabb049f.histogram.json,eb3fbc8e-93c1-4a78-a1b2-daa3eabb049f,
