com.samsung.shealth.report,6210049,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1558191600000,2019-06-01 06:41:03.114,2019-05-26 07:00:14.745,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,f1d15e68-62a3-4956-9f65-c8181c3fcab3,f1d15e68-62a3-4956-9f65-c8181c3fcab3.compressed_content.json,
Asia/Seoul,1616252400000,2021-03-28 05:38:10.214,2021-03-28 05:38:09.020,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,b2a6a9c6-751a-4278-82f7-e5df9c9affce,b2a6a9c6-751a-4278-82f7-e5df9c9affce.compressed_content.json,
Asia/Seoul,1619881200000,2021-05-09 05:37:58.850,2021-05-09 05:37:58.024,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,bae6da33-58fa-4e5f-9be5-1b0389a63991,bae6da33-58fa-4e5f-9be5-1b0389a63991.compressed_content.json,
Asia/Seoul,1561820400000,2019-07-13 06:41:22.464,2019-07-07 06:27:34.394,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,93f4f829-489e-4d09-850e-73e87bc20125,93f4f829-489e-4d09-850e-73e87bc20125.compressed_content.json,
Asia/Seoul,1623510000000,2021-06-21 05:38:03.666,2021-06-20 06:11:39.617,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,4ad2d953-7722-4bf1-9441-7ef5cbee1cdd,4ad2d953-7722-4bf1-9441-7ef5cbee1cdd.compressed_content.json,
Asia/Seoul,1627138800000,2021-08-01 06:02:02.158,2021-08-01 06:02:00.683,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,5e0f3dd8-407d-4b29-affd-050ec2494604,5e0f3dd8-407d-4b29-affd-050ec2494604.compressed_content.json,
Asia/Seoul,1565449200000,2019-08-23 06:51:46.449,2019-08-18 06:44:35.025,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,1b260bd5-ff34-4ebd-96bc-35fbd5879108,1b260bd5-ff34-4ebd-96bc-35fbd5879108.compressed_content.json,
Asia/Seoul,1569078000000,2019-09-30 06:40:51.716,2019-09-29 05:41:18.630,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,4cb6808d-c016-46a7-8f3b-c7410a4dd7d0,4cb6808d-c016-46a7-8f3b-c7410a4dd7d0.compressed_content.json,
Asia/Seoul,1630767600000,2021-09-12 05:38:27.360,2021-09-12 05:38:25.917,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,3c3e138c-070c-40a8-8d7e-c2217e421b90,3c3e138c-070c-40a8-8d7e-c2217e421b90.compressed_content.json,
Asia/Seoul,1572706800000,2019-11-11 07:02:13.434,2019-11-11 07:02:12.233,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,b2a16b5f-1237-4d2c-888e-997abe93d348,b2a16b5f-1237-4d2c-888e-997abe93d348.compressed_content.json,
Asia/Seoul,1634396400000,2021-10-24 06:19:55.930,2021-10-24 06:19:54.409,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,270cec6b-21b5-4aa3-b960-ee1c31d22fdd,270cec6b-21b5-4aa3-b960-ee1c31d22fdd.compressed_content.json,
