com.samsung.shealth.activity.day_summary,6210049,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
6578,3970864,,0,2019-01-14 13:58:18.992,2019-01-13 15:00:00.477,60,360000,108,4999.672,260.26996,76dc7056-5e0b-448d-9bf7-3bdf23fddcf1.extra_data.json,2lBdpDiteS,44392,com.sec.android.app.shealth,3926472,24960000,76dc7056-5e0b-448d-9bf7-3bdf23fddcf1,1547424000000,
0,0,,0,2019-01-12 06:06:13.728,2019-01-12 06:06:13.728,-1,0,0,0.0,0.0,b183e1b3-5014-4325-9774-59bf5b86785f.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,b183e1b3-5014-4325-9774-59bf5b86785f,1546128000000,
11597,7015787,,0,2019-01-20 01:58:15.686,2019-01-15 15:00:00.394,60,480000,193,8919.503,434.35,ee950d4e-36ad-43a5-872e-524b336cd8b1.extra_data.json,2lBdpDiteS,95360,com.sec.android.app.shealth,6920427,20940000,ee950d4e-36ad-43a5-872e-524b336cd8b1,1547596800000,
0,0,,0,2019-01-12 06:06:13.840,2019-01-12 06:06:13.840,-1,0,0,0.0,0.0,238caced-ba7f-4cf2-9b3d-6cc07e80d4b7.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,238caced-ba7f-4cf2-9b3d-6cc07e80d4b7,1546387200000,
8383,5018865,,0,2019-01-20 01:58:15.827,2019-01-16 15:00:01.431,60,420000,138,6397.6587,314.80005,5ad54977-f92d-4f98-96b0-d29c7b8d13e2.extra_data.json,2lBdpDiteS,61593,com.sec.android.app.shealth,4957272,25200000,5ad54977-f92d-4f98-96b0-d29c7b8d13e2,1547683200000,
342,225177,,0,2019-01-20 13:43:37.099,2019-01-19 15:00:00.451,60,32683,5,264.94,12.469999,f6eed5e6-8892-4c39-8fb0-113627d8c575.extra_data.json,2lBdpDiteS,4400,com.sec.android.app.shealth,220777,30300000,f6eed5e6-8892-4c39-8fb0-113627d8c575,1547942400000,
0,0,,0,2019-01-12 06:06:14.051,2019-01-12 06:06:14.051,-1,0,0,0.0,0.0,e451c928-9736-44a1-9b8e-f17259c86a00.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,e451c928-9736-44a1-9b8e-f17259c86a00,1546646400000,
0,0,,0,2019-01-12 06:06:14.179,2019-01-12 06:06:14.179,-1,0,0,0.0,0.0,aec40d62-da3b-4e04-9be6-a28d27d1e923.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,aec40d62-da3b-4e04-9be6-a28d27d1e923,1546905600000,
3724,2351223,,0,2019-01-23 05:15:34.206,2019-01-21 15:00:00.413,60,904740,63,2887.9495,145.13416,189278f7-4f8e-4212-bc77-19ad13447a6e.extra_data.json,2lBdpDiteS,13200,com.sec.android.app.shealth,2338023,25140000,189278f7-4f8e-4212-bc77-19ad13447a6e,1548115200000,
2412,1517585,,0,2019-01-26 14:54:38.161,2019-01-25 15:00:00.465,60,300000,41,1849.7399,94.12999,94c7011a-ca23-45a3-9949-3ba5996ddc6c.extra_data.json,2lBdpDiteS,6483,com.sec.android.app.shealth,1511102,24600000,94c7011a-ca23-45a3-9949-3ba5996ddc6c,1548460800000,
0,0,,0,2019-01-12 06:06:14.313,2019-01-12 06:06:14.313,-1,0,0,0.0,0.0,5eb036ce-1578-4f02-9d5c-7b54b6a08c3c.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,5eb036ce-1578-4f02-9d5c-7b54b6a08c3c,1547164800000,
6324,3867856,,0,2019-01-15 12:56:08.994,2019-01-14 15:00:00.464,60,420000,105,4769.8794,236.34,0841a681-07cb-4e85-a7b5-f304d8c0e938.extra_data.json,2lBdpDiteS,28964,com.sec.android.app.shealth,3838892,24480000,0841a681-07cb-4e85-a7b5-f304d8c0e938,1547510400000,
16375,10267721,,0,2019-01-23 14:59:57.915,2019-01-22 15:00:00.745,60,1749121,283,12416.495,631.26904,e53446dd-f64c-4ced-8392-db3ab18afb1f.extra_data.json,2lBdpDiteS,30243,com.sec.android.app.shealth,10237478,28620000,e53446dd-f64c-4ced-8392-db3ab18afb1f,1548201600000,
9138,5742320,,0,2019-01-28 14:15:07.167,2019-01-27 15:00:00.368,60,700275,158,7053.61,334.14777,177cbed3-784d-4c21-8467-3263c03a50eb.extra_data.json,2lBdpDiteS,11392,com.sec.android.app.shealth,5730928,22860000,177cbed3-784d-4c21-8467-3263c03a50eb,1548633600000,
3620,2248974,,0,2019-02-01 10:42:33.548,2019-01-31 15:00:00.605,60,899669,61,2797.817,137.52382,bcdaf8f2-ea6b-4cdf-96c7-4bef838b2cab.extra_data.json,2lBdpDiteS,11650,com.sec.android.app.shealth,2237324,30180000,bcdaf8f2-ea6b-4cdf-96c7-4bef838b2cab,1548979200000,
14058,8838499,,0,2019-01-20 01:58:16.146,2019-01-17 15:00:00.250,60,1026822,243,11073.632,518.7967,2e13ca0f-4590-447d-b2a7-1ed89cb152f6.extra_data.json,2lBdpDiteS,54634,com.sec.android.app.shealth,8783865,21780000,2e13ca0f-4590-447d-b2a7-1ed89cb152f6,1547769600000,
8037,4888356,,0,2019-01-23 05:15:34.022,2019-01-20 15:00:00.401,60,723901,135,6118.165,294.45743,07075099-a1b6-4496-adb5-6c2747ae80aa.extra_data.json,2lBdpDiteS,5600,com.sec.android.app.shealth,4882756,28020000,07075099-a1b6-4496-adb5-6c2747ae80aa,1548028800000,
870,576285,,0,2019-02-03 12:16:28.759,2019-02-02 15:00:00.499,60,47357,15,711.37006,34.490005,190e2547-7bf7-4971-b104-7227ea2bf066.extra_data.json,2lBdpDiteS,6000,com.sec.android.app.shealth,570285,28920000,190e2547-7bf7-4971-b104-7227ea2bf066,1549152000000,
8461,5080923,,0,2019-02-07 14:58:01.252,2019-02-06 15:00:00.384,60,759280,140,6528.554,322.17984,3a4355ca-45da-4c8a-bfcb-75dbf9fc3ded.extra_data.json,2lBdpDiteS,24376,com.sec.android.app.shealth,5056547,29100000,3a4355ca-45da-4c8a-bfcb-75dbf9fc3ded,1549497600000,
9309,5971843,,0,2019-01-29 14:43:01.505,2019-01-28 15:00:00.575,60,180000,165,7204.1885,340.7699,689ef324-e7bd-4079-bebc-0f6c98ea1c58.extra_data.json,2lBdpDiteS,12279,com.sec.android.app.shealth,5959564,25920000,689ef324-e7bd-4079-bebc-0f6c98ea1c58,1548720000000,
3631,2234489,,0,2019-01-24 11:35:55.818,2019-01-23 15:00:00.233,60,687792,61,2756.7288,147.16882,9f694024-0243-4de5-b7cd-a449b2ddeca6.extra_data.json,2lBdpDiteS,12153,com.sec.android.app.shealth,2222336,21180000,9f694024-0243-4de5-b7cd-a449b2ddeca6,1548288000000,
2269,1362934,,0,2019-01-27 14:57:45.563,2019-01-26 15:00:00.288,60,240000,36,1762.08,81.789986,a24d5dd7-27e4-4e01-980a-c114b6630e4b.extra_data.json,2lBdpDiteS,25191,com.sec.android.app.shealth,1337743,31980000,a24d5dd7-27e4-4e01-980a-c114b6630e4b,1548547200000,
0,0,,0,2018-11-03 01:46:50.959,2018-11-03 01:46:50.959,-1,0,0,0.0,0.0,0cebfa07-5d89-4dcd-b975-e76ec0751d83.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,0cebfa07-5d89-4dcd-b975-e76ec0751d83,1539129600000,
1597,995972,,0,2019-02-04 13:00:02.807,2019-02-03 15:00:01.110,60,60000,26,1441.7705,75.61001,c0d10497-dc8a-4e84-9070-a7a1f4eb6498.extra_data.json,2lBdpDiteS,71600,com.sec.android.app.shealth,924372,32340000,c0d10497-dc8a-4e84-9070-a7a1f4eb6498,1549238400000,
0,0,,0,2018-11-03 01:46:49.631,2018-11-03 01:46:49.631,-1,0,0,0.0,0.0,b0f19c56-0192-445e-a8b0-aeff8b08e0d0.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,b0f19c56-0192-445e-a8b0-aeff8b08e0d0,1541203200000,
5331,3299975,,0,2019-02-02 15:00:00.775,2019-02-01 15:00:01.506,60,480000,90,3962.6204,206.82997,9dd3d9c9-e1af-4810-bcb3-d42ddb027e29.extra_data.json,2lBdpDiteS,14653,com.sec.android.app.shealth,3285322,28560000,9dd3d9c9-e1af-4810-bcb3-d42ddb027e29,1549065600000,
4838,2951786,,0,2019-01-30 14:18:28.686,2019-01-29 15:00:00.439,60,420000,80,3595.7795,186.21,b50086f8-7c66-4c54-bc40-9eaf6fd84aa6.extra_data.json,2lBdpDiteS,12400,com.sec.android.app.shealth,2939386,26580000,b50086f8-7c66-4c54-bc40-9eaf6fd84aa6,1548806400000,
0,0,,0,2018-11-03 01:46:52.097,2018-11-03 01:46:52.097,-1,0,0,0.0,0.0,214310f1-5c0a-46be-8be2-19a2cb4e2bde.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,214310f1-5c0a-46be-8be2-19a2cb4e2bde,1539648000000,
0,0,,0,2018-11-03 01:46:50.110,2018-11-03 01:46:50.110,-1,0,0,0.0,0.0,01bf097d-0bba-4312-aba7-48ee738d158d.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,01bf097d-0bba-4312-aba7-48ee738d158d,1538870400000,
0,0,,0,2018-11-03 01:46:51.283,2018-11-03 01:46:51.283,-1,0,0,0.0,0.0,88f8e3ad-57bc-41e6-a944-f376baca0122.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,88f8e3ad-57bc-41e6-a944-f376baca0122,1539302400000,
9399,5817624,,0,2019-02-08 11:38:13.410,2019-02-07 15:00:00.186,60,300000,160,7212.0996,355.4899,003285f9-ef1a-43c7-93a2-e391ea339451.extra_data.json,2lBdpDiteS,29598,com.sec.android.app.shealth,5788026,29160000,003285f9-ef1a-43c7-93a2-e391ea339451,1549584000000,
0,0,,0,2018-11-03 01:46:53.417,2018-11-03 01:46:53.417,-1,0,0,0.0,0.0,52235681-b3b0-40ed-96c1-5ea308facf02.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,52235681-b3b0-40ed-96c1-5ea308facf02,1540166400000,
1274,820685,,0,2019-02-05 09:28:28.822,2019-02-04 15:00:00.560,60,240000,21,1003.2402,48.079994,fab2cfdd-88e3-4054-88cc-59c87697796c.extra_data.json,2lBdpDiteS,10400,com.sec.android.app.shealth,810285,21960000,fab2cfdd-88e3-4054-88cc-59c87697796c,1549324800000,
0,0,,0,2018-11-03 01:46:52.370,2018-11-03 01:46:52.370,-1,0,0,0.0,0.0,89845cb0-d315-42e4-a484-d281058f741d.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,89845cb0-d315-42e4-a484-d281058f741d,1539820800000,
0,0,,0,2018-11-03 01:46:51.525,2018-11-03 01:46:51.525,-1,0,0,0.0,0.0,098a118e-7b09-476d-93f3-dd67882ee3bc.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,098a118e-7b09-476d-93f3-dd67882ee3bc,1539388800000,
0,0,,0,2018-11-03 01:46:51.143,2018-11-03 01:46:51.143,-1,0,0,0.0,0.0,b465e22c-630a-435d-a716-a2a54e976094.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,b465e22c-630a-435d-a716-a2a54e976094,1539216000000,
